iter	Passed	Remaining
0	48	48197
1	48	24385
2	49	16412
3	49	12449
4	50	10086
5	51	8493
6	51	7351
7	52	6492
8	52	5821
9	53	5285
10	53	4845
11	54	4479
12	54	4169
13	55	3903
14	55	3672
15	56	3470
16	56	3293
17	57	3143
18	58	3001
19	58	2874
20	59	2759
21	59	2656
22	60	2561
23	60	2472
24	61	2391
25	61	2316
26	62	2247
27	62	2182
28	63	2122
29	63	2066
30	64	2013
31	65	1966
32	65	1920
33	66	1877
34	66	1836
35	67	1798
36	67	1761
37	68	1727
38	68	1694
39	69	1662
40	69	1631
41	70	1602
42	70	1575
43	71	1548
44	71	1522
45	72	1498
46	72	1475
47	73	1452
48	73	1431
49	74	1410
50	74	1390
51	75	1371
52	75	1353
53	76	1345
54	77	1328
55	77	1311
56	78	1296
57	78	1280
58	79	1265
59	79	1251
60	80	1237
61	80	1223
62	81	1210
63	81	1197
64	82	1185
65	82	1173
66	83	1162
67	83	1150
68	84	1139
69	84	1129
70	85	1118
71	85	1107
72	86	1098
73	86	1088
74	87	1079
75	88	1070
76	88	1061
77	89	1052
78	89	1044
79	90	1038
80	90	1030
81	91	1022
82	91	1012
83	92	1004
84	92	997
85	93	990
86	93	983
87	94	976
88	94	969
89	95	963
90	95	957
91	96	950
92	96	944
93	97	939
94	97	933
95	98	927
96	99	921
97	99	915
98	99	909
99	100	903
100	100	897
101	101	892
102	101	887
103	102	882
104	102	876
105	103	872
106	103	866
107	104	861
108	104	857
109	105	852
110	105	848
111	106	843
112	106	838
113	107	834
114	107	829
115	108	825
116	108	820
117	109	816
118	109	812
119	110	808
120	110	804
121	111	799
122	111	795
123	112	792
124	112	788
125	113	784
126	113	780
127	114	777
128	114	774
129	115	770
130	115	767
131	116	763
132	116	760
133	117	757
134	117	753
135	118	750
136	118	747
137	119	743
138	119	740
139	120	738
140	120	735
141	121	731
142	121	728
143	122	725
144	122	722
145	123	719
146	123	716
147	124	713
148	124	711
149	125	708
150	125	706
151	126	703
152	126	700
153	127	698
154	127	695
155	128	692
156	128	690
157	129	687
158	129	685
159	130	682
160	130	679
161	130	676
162	131	674
163	131	672
164	132	669
165	132	667
166	133	665
167	133	662
168	134	660
169	134	658
170	135	656
171	135	654
172	136	651
173	136	649
174	137	647
175	137	645
176	138	643
177	138	641
178	139	639
179	139	637
180	140	635
181	140	633
182	141	631
183	141	629
184	142	627
185	142	624
186	143	623
187	143	621
188	144	619
189	144	617
190	145	615
191	145	613
192	146	611
193	146	609
194	147	607
195	147	606
196	148	604
197	148	602
198	149	600
199	149	599
200	150	597
201	150	595
202	151	594
203	151	592
204	152	590
205	152	589
206	153	587
207	153	586
208	154	584
209	154	582
210	155	581
211	155	579
212	156	578
213	156	576
214	157	574
215	157	573
216	158	571
217	158	570
218	159	568
219	159	566
220	160	564
221	160	563
222	161	561
223	161	560
224	162	558
225	162	557
226	163	555
227	163	554
228	164	552
229	164	551
230	165	549
231	165	548
232	166	547
233	166	545
234	167	544
235	167	542
236	168	541
237	168	539
238	169	538
239	169	537
240	170	535
241	170	534
242	171	533
243	171	531
244	172	530
245	172	528
246	173	527
247	173	526
248	174	525
249	174	523
250	175	522
251	175	521
252	176	519
253	176	518
254	177	517
255	177	516
256	178	514
257	178	513
258	179	512
259	179	511
260	180	510
261	180	509
262	181	507
263	181	506
264	182	505
265	182	504
266	183	503
267	183	501
268	184	500
269	184	499
270	185	498
271	185	497
272	186	495
273	186	495
274	187	494
275	187	492
276	188	491
277	188	490
278	189	489
279	190	488
280	190	487
281	191	486
282	191	485
283	191	483
284	192	482
285	192	481
286	193	480
287	193	479
288	194	478
289	194	477
290	195	476
291	195	475
292	196	473
293	196	472
294	197	471
295	197	470
296	198	469
297	198	468
298	199	467
299	199	466
300	200	465
301	200	464
302	201	463
303	201	462
304	202	461
305	202	460
306	203	459
307	203	458
308	204	457
309	204	456
310	205	455
311	205	454
312	206	453
313	206	452
314	207	451
315	207	450
316	208	448
317	208	448
318	209	446
319	209	446
320	210	445
321	210	444
322	211	443
323	211	442
324	212	441
325	212	440
326	213	439
327	213	438
328	214	437
329	214	436
330	215	435
331	216	434
332	216	433
333	217	432
334	217	431
335	217	430
336	218	429
337	218	428
338	219	427
339	219	427
340	220	426
341	220	425
342	221	424
343	221	423
344	222	422
345	222	421
346	223	420
347	224	419
348	224	418
349	225	417
350	225	417
351	226	416
352	226	415
353	227	414
354	227	413
355	228	412
356	228	411
357	229	410
358	229	409
359	230	409
360	230	408
361	231	407
362	231	406
363	232	405
364	232	404
365	233	403
366	233	402
367	234	402
368	234	401
369	235	400
370	235	399
371	236	398
372	236	397
373	237	396
374	237	396
375	238	395
376	238	394
377	239	393
378	239	392
379	240	391
380	240	390
381	241	389
382	241	389
383	242	388
384	242	387
385	243	386
386	243	385
387	244	385
388	244	384
389	245	383
390	245	382
391	246	381
392	246	380
393	247	380
394	247	379
395	248	378
396	248	377
397	249	376
398	249	376
399	250	375
400	250	374
401	251	373
402	251	372
403	252	371
404	252	371
405	253	370
406	253	369
407	254	368
408	254	367
409	255	367
410	255	366
411	256	365
412	256	364
413	257	364
414	257	363
415	258	362
416	258	361
417	259	360
418	259	360
419	260	359
420	260	358
421	261	357
422	261	356
423	262	356
424	262	355
425	263	354
426	263	353
427	264	353
428	264	352
429	265	351
430	265	350
431	266	349
432	266	349
433	267	348
434	267	347
435	268	346
436	268	346
437	269	345
438	269	344
439	270	343
440	270	343
441	271	342
442	271	341
443	272	340
444	272	340
445	273	339
446	273	338
447	274	337
448	274	337
449	275	336
450	275	335
451	276	334
452	276	334
453	277	333
454	277	332
455	278	331
456	278	331
457	279	330
458	279	329
459	280	328
460	280	328
461	281	327
462	281	326
463	282	325
464	282	325
465	283	324
466	283	323
467	284	323
468	284	322
469	285	321
470	285	320
471	286	320
472	286	319
473	287	318
474	287	318
475	288	317
476	288	316
477	289	315
478	289	315
479	290	314
480	290	313
481	291	312
482	291	312
483	292	311
484	292	310
485	293	310
486	293	309
487	294	308
488	294	308
489	295	307
490	295	306
491	296	306
492	296	305
493	297	304
494	297	303
495	298	303
496	298	302
497	299	301
498	299	301
499	300	300
500	300	299
501	301	299
502	302	298
503	302	297
504	303	297
505	303	296
506	304	295
507	304	295
508	305	294
509	305	293
510	306	292
511	306	292
512	307	291
513	307	290
514	308	290
515	308	289
516	309	288
517	309	288
518	310	287
519	310	286
520	310	285
521	311	284
522	311	284
523	311	283
524	312	282
525	312	281
526	313	281
527	313	280
528	314	279
529	314	279
530	315	278
531	316	278
532	316	277
533	317	276
534	317	276
535	318	275
536	318	274
537	319	274
538	319	273
539	320	272
540	320	272
541	321	271
542	321	270
543	322	270
544	322	269
545	323	268
546	323	268
547	324	267
548	324	266
549	325	266
550	325	265
551	326	264
552	326	264
553	327	263
554	327	262
555	328	262
556	328	261
557	329	261
558	330	260
559	330	259
560	331	259
561	331	258
562	332	257
563	332	257
564	333	256
565	333	255
566	334	255
567	334	254
568	335	253
569	335	253
570	336	252
571	336	251
572	337	251
573	337	250
574	338	249
575	338	249
576	339	248
577	339	248
578	340	247
579	340	246
580	341	246
581	341	245
582	342	244
583	342	244
584	343	243
585	343	242
586	344	242
587	344	241
588	345	240
589	345	240
590	346	239
591	346	238
592	347	238
593	347	237
594	348	236
595	348	236
596	349	235
597	349	235
598	350	234
599	350	233
600	351	233
601	351	232
602	352	231
603	352	231
604	353	230
605	353	229
606	354	229
607	354	228
608	355	227
609	355	227
610	356	226
611	356	226
612	357	225
613	357	224
614	358	224
615	358	223
616	359	222
617	359	222
618	360	221
619	360	220
620	361	220
621	361	219
622	362	219
623	362	218
624	363	217
625	363	217
626	364	216
627	364	215
628	364	215
629	365	214
630	365	214
631	366	213
632	367	212
633	367	212
634	368	211
635	368	210
636	369	210
637	369	209
638	370	209
639	370	208
640	371	207
641	371	207
642	372	206
643	372	205
644	373	205
645	373	204
646	374	204
647	374	203
648	374	202
649	375	202
650	376	201
651	376	201
652	377	200
653	377	199
654	378	199
655	378	198
656	379	198
657	379	197
658	380	196
659	380	196
660	381	195
661	381	194
662	382	194
663	382	193
664	383	193
665	384	192
666	384	192
667	385	191
668	385	190
669	386	190
670	386	189
671	387	188
672	387	188
673	388	187
674	388	187
675	389	186
676	389	185
677	390	185
678	390	184
679	390	183
680	391	183
681	392	182
682	392	182
683	393	181
684	393	180
685	393	180
686	394	179
687	395	179
688	395	178
689	395	177
690	396	177
691	397	176
692	397	176
693	398	175
694	398	174
695	399	174
696	399	173
697	400	173
698	400	172
699	401	171
700	401	171
701	402	170
702	402	170
703	403	169
704	403	168
705	404	168
706	404	167
707	405	167
708	405	166
709	406	165
710	406	165
711	407	164
712	407	164
713	408	163
714	408	162
715	409	162
716	409	161
717	410	161
718	410	160
719	410	159
720	411	159
721	412	158
722	412	158
723	413	157
724	413	156
725	414	156
726	414	155
727	415	155
728	415	154
729	416	153
730	416	153
731	417	152
732	417	152
733	418	151
734	418	150
735	419	150
736	419	149
737	420	149
738	420	148
739	421	147
740	421	147
741	422	146
742	422	146
743	423	145
744	423	144
745	424	144
746	424	143
747	425	143
748	425	142
749	426	142
750	426	141
751	427	140
752	427	140
753	428	139
754	429	139
755	429	138
756	430	138
757	430	137
758	431	136
759	431	136
760	432	135
761	432	135
762	433	134
763	433	133
764	433	133
765	434	132
766	434	132
767	435	131
768	436	130
769	436	130
770	436	129
771	437	129
772	437	128
773	438	128
774	438	127
775	439	126
776	439	126
777	440	125
778	440	125
779	441	124
780	441	123
781	442	123
782	442	122
783	443	122
784	444	121
785	444	121
786	445	120
787	445	119
788	446	119
789	446	118
790	446	118
791	447	117
792	447	116
793	448	116
794	449	115
795	449	115
796	450	114
797	450	114
798	451	113
799	451	112
800	452	112
801	452	111
802	453	111
803	453	110
804	454	109
805	454	109
806	455	108
807	455	108
808	456	107
809	456	107
810	457	106
811	457	105
812	458	105
813	458	104
814	459	104
815	459	103
816	460	103
817	460	102
818	461	101
819	461	101
820	462	100
821	462	100
822	463	99
823	463	99
824	464	98
825	464	97
